"Nazwa produktu","Kod produktu","Product name (incl. combination)"
"Zgrzebło igiełkowe York fioletowe","240619","Zgrzebło igiełkowe York fioletowe : KOLOR - szary, ROZMIAR - 35-38,Zgrzebło igiełkowe York fioletowe : KOLOR - fioletowy"
"Grzebień do zaplatania koreczków York czarny","241002","Grzebień do zaplatania koreczków York czarny : KOLOR - czarny"
"Szczotka do grzywy i ogona York różowo-szara","242205","Szczotka do grzywy i ogona York różowo-szara : KOLOR - różowy-szary"
"Szczotka do grzywy i ogona York błękitno-granatowa","242203","Szczotka do grzywy i ogona York błękitno-granatowa : KOLOR - błękitny-granatowy"
"Gumki-kokardki do zaplatania koreczków York błękitne","242403","Gumki-kokardki do zaplatania koreczków York błękitne : KOLOR - błękitny"
"Gumki-kokardki do zaplatania koreczków York srebrne","242414","Gumki-kokardki do zaplatania koreczków York srebrne : KOLOR - srebrny"
"Gumki-kokardki do zaplatania koreczków York różowe","242406","Gumki-kokardki do zaplatania koreczków York różowe : KOLOR - różowy,Gumki-kokardki do zaplatania koreczków York różowe : KOLOR - różowy"
"Szczotka do grzywy i ogona York granatowo-czerwona","242204","Szczotka do grzywy i ogona York granatowo-czerwona : KOLOR - granatowy-czerwony,Szczotka do grzywy i ogona York granatowo-czerwona : KOLOR - granatowy-czerwony"
"Szczotka ryżowa z długim włosiem York różowa","242702","Szczotka ryżowa z długim włosiem York różowa : KOLOR - różowy"
"Gumki-kokardki do zaplatania koreczków York złote","242415","Gumki-kokardki do zaplatania koreczków York złote : KOLOR - złoty"
"Szczotka do grzywy i ogona York różowa","242202","Szczotka do grzywy i ogona York różowa : KOLOR - różowy"
"Szczotka Mati naturalna profilowana duża","0016560 ""XX""/S-18","Szczotka Mati naturalna profilowana duża : ROZMIAR - 16 cm,Szczotka Mati naturalna profilowana duża : ROZMIAR - 18 cm,Szczotka Mati naturalna profilowana duża : ROZMIAR - 21 cm"
"Szczotka Mati kokosowa owalna mała","0016562 ""XL""-19,5","Szczotka Mati kokosowa owalna mała : ROZMIAR - 18 cm,Szczotka Mati kokosowa owalna mała : ROZMIAR - 16,5 cm,Szczotka Mati kokosowa owalna mała : ROZMIAR - 19,5 cm"
"Ściągaczka do wody i potu York czerwona","242803","Ściągaczka do wody i potu York czerwona : KOLOR - czerwony,Ściągaczka do wody i potu York czerwona : KOLOR - czerwony"
"Ściągaczka do wody i potu York błękitna","242801","Ściągaczka do wody i potu York błękitna : KOLOR - błękitny"
"Pędzel w pojemniku York czarny","243002","Pędzel w pojemniku York czarny : KOLOR - czarny"
"Szczotka ryżowa z długim włosiem York zielona","242703","Szczotka ryżowa z długim włosiem York zielona : KOLOR - zielony"
"Ściągaczka do wody i potu York różowa","242802","Ściągaczka do wody i potu York różowa : KOLOR - różowy"
"Zgrzebło igiełkowe Start błękitne","0030140001/LBL","Zgrzebło igiełkowe Start błękitne : KOLOR - błękitny"
"Szczotka Mati naturalna owalna duża","0016567 ""XL""/S-19,5","Szczotka Mati naturalna owalna duża : ROZMIAR - 16,5 cm,Szczotka Mati naturalna owalna duża : ROZMIAR - 18 cm,Szczotka Mati naturalna owalna duża : ROZMIAR - 14 cm,Szczotka Mati naturalna owalna duża : ROZMIAR - 19,5 cm"
"Zgrzebło igiełkowe Start brązowe","0030140001/BR","Zgrzebło igiełkowe Start brązowe : KOLOR - brązowy"
"Szczotkokopystka żelowa Start różowa","0030180002/PI","Szczotkokopystka żelowa Start różowa : KOLOR - różowy"
"Szczotkokopystka żelowa Start błękitna","0030180002/SK","Szczotkokopystka żelowa Start błękitna : KOLOR - błękitny"
"Szczotkokopystka żelowa Start zielona","0030180002/GR","Szczotkokopystka żelowa Start zielona : KOLOR - zielony"
"Zgrzebło plastikowe Waldhausen fioletowe","601419","Zgrzebło plastikowe Waldhausen fioletowe : KOLOR - fioletowy"
"Ściągaczka do wody i potu Waldhausen metalowa","600900","Ściągaczka do wody i potu Waldhausen metalowa"
"Nożyczki do trymowania grzywy Waldhausen","603300","Nożyczki do trymowania grzywy Waldhausen"
"Gumki silikonowe Waldhausen białe","606312","Gumki silikonowe Waldhausen białe : KOLOR - biały, ROZMIAR - 30 g"
"Gumki silikonowe Waldhausen bezbarwne","606313","Gumki silikonowe Waldhausen bezbarwne : KOLOR - bezbarwny, ROZMIAR - 30 g"
"Gumki do grzywy Waldhausen w pudełku silikonowe kolorowe","606325-50","Gumki do grzywy Waldhausen w pudełku silikonowe kolorowe : KOLOR - kolorowy, ROZMIAR - 50 g"
"Zgrzebło igiełkowe Waldhausen małe niebieskie","604731","Zgrzebło igiełkowe Waldhausen małe niebieskie : KOLOR - fuksja,Zgrzebło igiełkowe Waldhausen małe niebieskie : KOLOR - niebieski,Zgrzebło igiełkowe Waldhausen małe niebieskie : KOLOR - fioletowy"
"Szczotka twarda Busse Bunt, mała z jednorożcem niebieska","620136.BL8.574","Szczotka twarda Busse Bunt, mała z jednorożcem niebieska : KOLOR - niebieski"
"Ściągaczka do wody i potu Waldhausen Mini czarna","6145501","Ściągaczka do wody i potu Waldhausen Mini czarna : KOLOR - czarny"
"Szczotka Busse Bunt z jednorożcem mała granatowa","620138.BL8.574","Szczotka Busse Bunt z jednorożcem mała granatowa : KOLOR - niebieski,Szczotka Busse Bunt z jednorożcem mała granatowa : KOLOR - granatowy"
"Gąbka konik HKM","6400.ST","Gąbka konik HKM : KOLOR - wybierany losowo"
"Zgrzebło igiełkowe HKM czarne","63149100.ST","Zgrzebło igiełkowe HKM czarne : KOLOR - czarny"
