"Identyfikator Produktu (ID)","Nazwa produktu","Opis","Cena sprzedaży z podatkiem","Cena ostateczna (brutto)","Url produktu","Urls obrazu produktu","Producent","Kod kreskowy EAN-13 lub JAN","Kod produktu"
"54699","Czapka z pomponem QHP Jessie czarno-zielono-szara","Czapka z pomponem firmy QHP.","69.00 PLN","48.30 PLN","https://www.pegazshop.pl/czapka-z-pomponem-qhp-jessie-czarno-zielono-szara-54699.html#/kolor-czarny_zielony_szary","http://www.pegazshop.pl/47925/czapka-z-pomponem-qhp-jessie-czarno-zielono-szara.jpg,http://www.pegazshop.pl/61819/czapka-z-pomponem-qhp-jessie-czarno-zielono-szara.jpg","QHP","8718369235903","8498 OLI"
"54878","Czaprak ujeżdżeniowy BR Selvi granatowy","Czaprak BR z grafiką na pasku popręgu i tylnym szwie, ozdobiony sznurekiem z kamieniami i taśmą.","239.00 PLN","179.25 PLN","https://www.pegazshop.pl/czaprak-ujezdzeniowy-br-granatowy-54878.html#/rozmiar-dl/kolor-granatowy","http://www.pegazshop.pl/47987/czaprak-ujezdzeniowy-br-granatowy.jpg,http://www.pegazshop.pl/47988/czaprak-ujezdzeniowy-br-granatowy.jpg,http://www.pegazshop.pl/47989/czaprak-ujezdzeniowy-br-granatowy.jpg","BR","8714802956046","166191B172850"
"54879","Czaprak ujeżdżeniowy BR Selvi brązowy","Czaprak BR z grafiką na pasku popręgu i tylnym szwie, ozdobiony sznurekiem z kamieniami i taśmą.","239.00 PLN","179.25 PLN","https://www.pegazshop.pl/czaprak-ujezdzeniowy-br-brazowy-54879.html#/rozmiar-dl/kolor-brązowy","http://www.pegazshop.pl/47990/czaprak-ujezdzeniowy-br-brazowy.jpg,http://www.pegazshop.pl/47991/czaprak-ujezdzeniowy-br-brazowy.jpg,http://www.pegazshop.pl/47992/czaprak-ujezdzeniowy-br-brazowy.jpg","BR","8714802956077","166191N141850"
"54900","Golf damski termiczny Anky niebieski","Golf damski termiczny Anky.<br>Głowne cechy :<br><br>o Oddychający odcinek z izolacją termiczną<br>o Antybakteryjny materiał<br>o Rozciągliwa tkanina w 4 kierunkach<br>o Dostępne we wszystkich sezonowych kolorach","205.00 PLN","143.50 PLN","https://www.pegazshop.pl/golf-damski-techniczny-anky-niebieski-54900.html#/rozmiar-s/kolor-niebieski","http://www.pegazshop.pl/48018/golf-damski-techniczny-anky-niebieski.jpg,http://www.pegazshop.pl/48019/golf-damski-techniczny-anky-niebieski.jpg","Anky","8714802951508","A67276L220930"
"54900","Golf damski termiczny Anky niebieski","Golf damski termiczny Anky.<br>Głowne cechy :<br><br>o Oddychający odcinek z izolacją termiczną<br>o Antybakteryjny materiał<br>o Rozciągliwa tkanina w 4 kierunkach<br>o Dostępne we wszystkich sezonowych kolorach","205.00 PLN","143.50 PLN","https://www.pegazshop.pl/golf-damski-techniczny-anky-niebieski-54900.html#/rozmiar-m/kolor-niebieski","http://www.pegazshop.pl/48018/golf-damski-techniczny-anky-niebieski.jpg,http://www.pegazshop.pl/48019/golf-damski-techniczny-anky-niebieski.jpg","Anky","8714802951508","A67276L220930"
"55141","Kurtka damska Anky czarna","Kurtka zimowa damska firmy BR. Lekki, oddychający materiał z izolacją termiczną, ciepła wyściółka z imitacji puchu, dwukierunkowy zamek błyskawiczny, dwie kieszenie wewnętrzne, odpinany kaptur ze sztucznym futerkiem, dół regulowany elastycznym sznurkiem.","829.00 PLN","538.85 PLN","https://www.pegazshop.pl/kurtka-damska-anky-czarna-55141.html#/rozmiar-s/kolor-czarny","http://www.pegazshop.pl/48121/kurtka-damska-anky-czarna.jpg,http://www.pegazshop.pl/48122/kurtka-damska-anky-czarna.jpg,http://www.pegazshop.pl/48123/kurtka-damska-anky-czarna.jpg","BR","8714802949116","A65161B001930"
"55141","Kurtka damska Anky czarna","Kurtka zimowa damska firmy BR. Lekki, oddychający materiał z izolacją termiczną, ciepła wyściółka z imitacji puchu, dwukierunkowy zamek błyskawiczny, dwie kieszenie wewnętrzne, odpinany kaptur ze sztucznym futerkiem, dół regulowany elastycznym sznurkiem.","829.00 PLN","538.85 PLN","https://www.pegazshop.pl/kurtka-damska-anky-czarna-55141.html#/rozmiar-m/kolor-czarny","http://www.pegazshop.pl/48121/kurtka-damska-anky-czarna.jpg,http://www.pegazshop.pl/48122/kurtka-damska-anky-czarna.jpg,http://www.pegazshop.pl/48123/kurtka-damska-anky-czarna.jpg","BR","8714802949116","A65161B001930"
"55141","Kurtka damska Anky czarna","Kurtka zimowa damska firmy BR. Lekki, oddychający materiał z izolacją termiczną, ciepła wyściółka z imitacji puchu, dwukierunkowy zamek błyskawiczny, dwie kieszenie wewnętrzne, odpinany kaptur ze sztucznym futerkiem, dół regulowany elastycznym sznurkiem.","829.00 PLN","538.85 PLN","https://www.pegazshop.pl/kurtka-damska-anky-czarna-55141.html#/rozmiar-l/kolor-czarny","http://www.pegazshop.pl/48121/kurtka-damska-anky-czarna.jpg,http://www.pegazshop.pl/48122/kurtka-damska-anky-czarna.jpg,http://www.pegazshop.pl/48123/kurtka-damska-anky-czarna.jpg","BR","8714802949116","A65161B001930"
"55730","Czaprak Horze Tucker Pony granatowy","Czaprak Horze Tucker Pony granatowy<br><br><br>Ozdobiony ślicznym wzorem w płatki śniegu i kucyki, wykończony pikowaniem w serduszeka, czaprak będzie się doskonale prezentował się na twoim kucyku. Szybkoschnąca podszewka z siateczki zapewnia wygodę, a wszeschstronny krój zapewni optymalne ułożenie pod siodłem. Paski na rzepy pozwolą zamocować czaprak do przystuł, a solidny pasek u dołu ustabilizuje popręg w odpowiedniej pozycji.<br><br>Cechy:<br><br>    Wesoły design i piękne kolory<br>    Nadruk w koniki i płatki śniegu <br>    Pikowanie w kształcie serduszek<br>    Oddychający<br>    Szybkoschnąca podszewka z siateczki<br>    Ergonomiczny kształt<br>    Parciana lamówka wzdłuż brzegów<br>    Paski na rzep do przypięcia do przystuł oraz pasek na popręg","139.00 PLN","111.20 PLN","https://www.pegazshop.pl/czaprak-horze-tucker-pony-granatowy-55730.html#/rozmiar-shetty/kolor-granatowy","http://www.pegazshop.pl/48388/czaprak-horze-tucker-pony-granatowy.jpg,http://www.pegazshop.pl/89098/czaprak-horze-tucker-pony-granatowy.jpg","Horze","4063634099006","17302-ATPU-P"
"55730","Czaprak Horze Tucker Pony granatowy","Czaprak Horze Tucker Pony granatowy<br><br><br>Ozdobiony ślicznym wzorem w płatki śniegu i kucyki, wykończony pikowaniem w serduszeka, czaprak będzie się doskonale prezentował się na twoim kucyku. Szybkoschnąca podszewka z siateczki zapewnia wygodę, a wszeschstronny krój zapewni optymalne ułożenie pod siodłem. Paski na rzepy pozwolą zamocować czaprak do przystuł, a solidny pasek u dołu ustabilizuje popręg w odpowiedniej pozycji.<br><br>Cechy:<br><br>    Wesoły design i piękne kolory<br>    Nadruk w koniki i płatki śniegu <br>    Pikowanie w kształcie serduszek<br>    Oddychający<br>    Szybkoschnąca podszewka z siateczki<br>    Ergonomiczny kształt<br>    Parciana lamówka wzdłuż brzegów<br>    Paski na rzep do przypięcia do przystuł oraz pasek na popręg","139.00 PLN","111.20 PLN","https://www.pegazshop.pl/czaprak-horze-tucker-pony-granatowy-55730.html#/rozmiar-pony/kolor-granatowy","http://www.pegazshop.pl/48388/czaprak-horze-tucker-pony-granatowy.jpg,http://www.pegazshop.pl/89097/czaprak-horze-tucker-pony-granatowy.jpg,http://www.pegazshop.pl/89098/czaprak-horze-tucker-pony-granatowy.jpg","Horze","4063634099006","17302-ATPU-P"
