"Identyfikator Produktu (ID)","Product name (incl. combination)","Kod produktu","Cena ostateczna (brutto)","Obniżka_1","Obniżka_2","Typ obniżki_1","Typ obniżki_2"
"8951","Bluzka konkursowa damska Equiline Grace biała : KOLOR - biały, ROZMIAR - XS,Bluzka konkursowa damska Equiline Grace biała : KOLOR - biały, ROZMIAR - M,Bluzka konkursowa damska Equiline Grace biała : KOLOR - biały, ROZMIAR - L,Bluzka konkursowa damska Equiline Grace biała : KOLOR - biały, ROZMIAR - S","H00719-001 XS","479.00,479.00,479.00,479.00","0.35","","percentage",""
"8959","Bluzka konkursowa męska Equiline Fox biała : KOLOR - biały, ROZMIAR - M,Bluzka konkursowa męska Equiline Fox biała : KOLOR - biały, ROZMIAR - L","H00452-001 M","439.00,439.00","0.35","","percentage",""
"9338","Derka dla psa Eskadron Young Star navy stars, granatowa w gwiazdki : ROZMIAR - 55 cm, KOLOR - navy stars,Derka dla psa Eskadron Young Star navy stars, granatowa w gwiazdki : ROZMIAR - 45 cm, KOLOR - navy stars,Derka dla psa Eskadron Young Star navy stars, granatowa w gwiazdki : ROZMIAR - 30 cm, KOLOR - navy stars,Derka dla psa Eskadron Young Star navy stars, granatowa w gwiazdki : ROZMIAR - 35 cm, KOLOR - navy stars","180145 353 380 / 55","129.00,129.00,129.00,129.00","0.10","","percentage",""
"9804","Bryczesy Pikeur Lucinda Grip granatowe 2018 : KOLOR - granatowy, ROZMIAR - 34,Bryczesy Pikeur Lucinda Grip granatowe 2018 : KOLOR - granatowy, ROZMIAR - 36,Bryczesy Pikeur Lucinda Grip granatowe 2018 : KOLOR - granatowy, ROZMIAR - 76,Bryczesy Pikeur Lucinda Grip granatowe 2018 : KOLOR - granatowy, ROZMIAR - 72","LUCINDA GRIP 7924/38","440.37,270.27,440.37,440.37","0.37","","percentage",""
"9805","Bryczesy Pikeur Lucinda Grip antracytowe 2018 : ROZMIAR - 36, KOLOR - antracytowy,Bryczesy Pikeur Lucinda Grip antracytowe 2018 : ROZMIAR - 38, KOLOR - antracytowy,Bryczesy Pikeur Lucinda Grip antracytowe 2018 : KOLOR - antracytowy, ROZMIAR - 40","LUCINDA GRIP 7957/36","321.75,321.75,524.25","0.25","","percentage",""
"9812","Bryczesy Pikeur Lucinda Grip antracytowe 2018 : ROZMIAR - 38, KOLOR - antracytowy,Bryczesy Pikeur Lucinda Grip antracytowe 2018 : ROZMIAR - 36, KOLOR - antracytowy","LUCINDA GRIP 7957/36","599.25,524.25","0.25","","percentage",""
"9988","Bryczesy Pikeur Shiva Kontrast antracytowe : KOLOR - antracytowy, ROZMIAR - 34,Bryczesy Pikeur Shiva Kontrast antracytowe : KOLOR - antracytowy, ROZMIAR - 72","SHIVA KONTRAST 7957/34","454.35,454.35","0.35","","percentage",""
"10340","Bryczesy Pikeur Henriette Grip granatowe 2019 : KOLOR - granatowy, ROZMIAR - 34,Bryczesy Pikeur Henriette Grip granatowe 2019 : ROZMIAR - 38, KOLOR - granatowy,Bryczesy Pikeur Henriette Grip granatowe 2019 : KOLOR - granatowy, ROZMIAR - 40,Bryczesy Pikeur Henriette Grip granatowe 2019 : KOLOR - granatowy, ROZMIAR - 36","HENRIETTE GRIP 3324/34","285.35,454.35,285.35,454.35","0.35","","percentage",""
"10342","Bryczesy Pikeur Darjeen Jeans Grip szare 2019 : KOLOR - szary, ROZMIAR - 34,Bryczesy Pikeur Darjeen Jeans Grip szare 2019 : ROZMIAR - 36, KOLOR - szary,Bryczesy Pikeur Darjeen Jeans Grip szare 2019 : ROZMIAR - 38, KOLOR - szary","145016 477 240 / 34","535.33,354.43,535.33","0.33","","percentage",""
"10343","Bryczesy Pikeur Charline Grip granatowe 2019 : KOLOR - granatowy, ROZMIAR - 34,Bryczesy Pikeur Charline Grip granatowe 2019 : KOLOR - granatowy, ROZMIAR - 36,Bryczesy Pikeur Charline Grip granatowe 2019 : ROZMIAR - 38, KOLOR - granatowy,Bryczesy Pikeur Charline Grip granatowe 2019 : KOLOR - granatowy, ROZMIAR - 72,Bryczesy Pikeur Charline Grip granatowe 2019 : KOLOR - granatowy, ROZMIAR - 76","CHARLINE GRIP 3324/34 2019","291.85,454.35,291.85,454.35,454.35","0.35","","percentage",""
"10349","Koszulka damska Pikeur Linnea pomarańczowa 2019 : KOLOR - pomarańczowy, ROZMIAR - 34,Koszulka damska Pikeur Linnea pomarańczowa 2019 : KOLOR - pomarańczowy, ROZMIAR - 38,Koszulka damska Pikeur Linnea pomarańczowa 2019 : KOLOR - pomarańczowy, ROZMIAR - 36","LINNEA 1302/34 2019","109.85,109.85,109.85","0.35","","percentage",""
"10368","Koszulka damska Pikeur Wanda granatowa 2019 : KOLOR - granatowy, ROZMIAR - 40,Koszulka damska Pikeur Wanda granatowa 2019 : ROZMIAR - 38, KOLOR - granatowy,Koszulka damska Pikeur Wanda granatowa 2019 : KOLOR - granatowy, ROZMIAR - 36,Koszulka damska Pikeur Wanda granatowa 2019 : KOLOR - granatowy, ROZMIAR - 42,Koszulka damska Pikeur Wanda granatowa 2019 : KOLOR - granatowy, ROZMIAR - 34","WANDA 1577/40 2019","99.71,99.71,99.71,99.71,99.71","0.41","","percentage",""
"10371","Koszulka polo damska Pikeur Henna biała 2019 : KOLOR - biały, ROZMIAR - 36,Koszulka polo damska Pikeur Henna biała 2019 : KOLOR - biały, ROZMIAR - 32,Koszulka polo damska Pikeur Henna biała 2019 : KOLOR - biały, ROZMIAR - 40,Koszulka polo damska Pikeur Henna biała 2019 : KOLOR - biały, ROZMIAR - 34,Koszulka polo damska Pikeur Henna biała 2019 : KOLOR - biały, ROZMIAR - 38","HENNA 1502/36 2019","133.33,140.03,106.53,140.03,140.03","0.33","","percentage",""
"10374","Bluza damska Pikeur Hayet granatowa 2019 : KOLOR - granatowy, ROZMIAR - 34,Bluza damska Pikeur Hayet granatowa 2019 : KOLOR - granatowy, ROZMIAR - 40,Bluza damska Pikeur Hayet granatowa 2019 : ROZMIAR - 38, KOLOR - granatowy,Bluza damska Pikeur Hayet granatowa 2019 : KOLOR - granatowy, ROZMIAR - 32,Bluza damska Pikeur Hayet granatowa 2019 : KOLOR - granatowy, ROZMIAR - 36","HAYET 1226/34 2019","242.56,229.76,159.36,242.56,159.36","0.36","","percentage",""
"10379","Koszulka damska Pikeur Wanda szara 2019 : ROZMIAR - 36, KOLOR - szary,Koszulka damska Pikeur Wanda szara 2019 : KOLOR - szary, ROZMIAR - 40,Koszulka damska Pikeur Wanda szara 2019 : ROZMIAR - 38, KOLOR - szary,Koszulka damska Pikeur Wanda szara 2019 : KOLOR - szary, ROZMIAR - 34","WANDA 1231/36 2019","99.71,99.71,99.71,99.71","0.41","","percentage",""
