"Identyfikator Produktu (ID)","Nazwa produktu","Opis","Cena sprzedaży z podatkiem","Cena ostateczna (brutto)","Url produktu","Urls obrazu produktu","Category Default Name","Producent","Kod kreskowy EAN-13 lub JAN","Kod produktu"
"1136","Kamizelka ocieplana damska Ekkia","Kamizelka damska firmy Ekkia. Wykonana z wysokiej jakości korpus: 100% poliamid - Wkłady: 88% poliester, 12% elastan. Można prać w pralce w temperaturze 30°C.","330.00 PLN","247.50 PLN","https://www.pegazshop.pl/kamizelka-ocieplana-damska-ekkia-1136.html#/rozmiar-s/kolor-granatowy","http://www.pegazshop.pl/1270/kamizelka-ocieplana-damska-ekkia.jpg,http://www.pegazshop.pl/1271/kamizelka-ocieplana-damska-ekkia.jpg","Kamizelki damskie","Ekkia","3338025564380","978003071"
"1136","Kamizelka ocieplana damska Ekkia","Kamizelka damska firmy Ekkia. Wykonana z wysokiej jakości korpus: 100% poliamid - Wkłady: 88% poliester, 12% elastan. Można prać w pralce w temperaturze 30°C.","330.00 PLN","247.50 PLN","https://www.pegazshop.pl/kamizelka-ocieplana-damska-ekkia-1136.html#/rozmiar-m/kolor-granatowy","http://www.pegazshop.pl/1270/kamizelka-ocieplana-damska-ekkia.jpg,http://www.pegazshop.pl/1271/kamizelka-ocieplana-damska-ekkia.jpg","Kamizelki damskie","Ekkia","3338025564380","978003071"
"1136","Kamizelka ocieplana damska Ekkia","Kamizelka damska firmy Ekkia. Wykonana z wysokiej jakości korpus: 100% poliamid - Wkłady: 88% poliester, 12% elastan. Można prać w pralce w temperaturze 30°C.","330.00 PLN","247.50 PLN","https://www.pegazshop.pl/kamizelka-ocieplana-damska-ekkia-1136.html#/rozmiar-l/kolor-granatowy","http://www.pegazshop.pl/1270/kamizelka-ocieplana-damska-ekkia.jpg,http://www.pegazshop.pl/1271/kamizelka-ocieplana-damska-ekkia.jpg","Kamizelki damskie","Ekkia","3338025564380","978003071"
"1141","Kurtka HKM Victoria czarna","Kurtka firmy HKM
Posiada przedłużany krój, z kapturem.
Wykonana z oddychającego i bardzo trwałego materiału.
Tkanina zewnętrzna jedwabiście błyszcząca.

Podszewka: 100% nylon
Materiał wierzchni: 100% nylon
Wypełnienie: 100% poliester","320.00 PLN","240.00 PLN","https://www.pegazshop.pl/kurtka-hkm-victoria-czarna-1141.html#/rozmiar-m/kolor-czarny","http://www.pegazshop.pl/30158/kurtka-hkm-victoria-czarna.jpg,http://www.pegazshop.pl/30159/kurtka-hkm-victoria-czarna.jpg","Kurtki / płaszcze damskie","HKM","4057052283536","100719100.0615"
"1141","Kurtka HKM Victoria czarna","Kurtka firmy HKM
Posiada przedłużany krój, z kapturem.
Wykonana z oddychającego i bardzo trwałego materiału.
Tkanina zewnętrzna jedwabiście błyszcząca.

Podszewka: 100% nylon
Materiał wierzchni: 100% nylon
Wypełnienie: 100% poliester","320.00 PLN","240.00 PLN","https://www.pegazshop.pl/kurtka-hkm-victoria-czarna-1141.html#/rozmiar-s/kolor-czarny","http://www.pegazshop.pl/30160/kurtka-hkm-victoria-czarna.jpg,http://www.pegazshop.pl/30161/kurtka-hkm-victoria-czarna.jpg","Kurtki / płaszcze damskie","HKM","4057052283536","100719100.0615"
"1141","Kurtka HKM Victoria czarna","Kurtka firmy HKM
Posiada przedłużany krój, z kapturem.
Wykonana z oddychającego i bardzo trwałego materiału.
Tkanina zewnętrzna jedwabiście błyszcząca.

Podszewka: 100% nylon
Materiał wierzchni: 100% nylon
Wypełnienie: 100% poliester","320.00 PLN","240.00 PLN","https://www.pegazshop.pl/kurtka-hkm-victoria-czarna-1141.html#/rozmiar-l/kolor-czarny","http://www.pegazshop.pl/30154/kurtka-hkm-victoria-czarna.jpg,http://www.pegazshop.pl/30155/kurtka-hkm-victoria-czarna.jpg","Kurtki / płaszcze damskie","HKM","4057052283536","100719100.0615"
"1141","Kurtka HKM Victoria czarna","Kurtka firmy HKM
Posiada przedłużany krój, z kapturem.
Wykonana z oddychającego i bardzo trwałego materiału.
Tkanina zewnętrzna jedwabiście błyszcząca.

Podszewka: 100% nylon
Materiał wierzchni: 100% nylon
Wypełnienie: 100% poliester","320.00 PLN","240.00 PLN","https://www.pegazshop.pl/kurtka-hkm-victoria-czarna-1141.html#/rozmiar-xl/kolor-czarny","http://www.pegazshop.pl/30162/kurtka-hkm-victoria-czarna.jpg,http://www.pegazshop.pl/30163/kurtka-hkm-victoria-czarna.jpg","Kurtki / płaszcze damskie","HKM","4057052283536","100719100.0615"
"1141","Kurtka HKM Victoria czarna","Kurtka firmy HKM
Posiada przedłużany krój, z kapturem.
Wykonana z oddychającego i bardzo trwałego materiału.
Tkanina zewnętrzna jedwabiście błyszcząca.

Podszewka: 100% nylon
Materiał wierzchni: 100% nylon
Wypełnienie: 100% poliester","320.00 PLN","240.00 PLN","https://www.pegazshop.pl/kurtka-hkm-victoria-czarna-1141.html#/rozmiar-xs/kolor-czarny","http://www.pegazshop.pl/30164/kurtka-hkm-victoria-czarna.jpg,http://www.pegazshop.pl/30165/kurtka-hkm-victoria-czarna.jpg","Kurtki / płaszcze damskie","HKM","4057052283536","100719100.0615"
"1141","Kurtka HKM Victoria czarna","Kurtka firmy HKM
Posiada przedłużany krój, z kapturem.
Wykonana z oddychającego i bardzo trwałego materiału.
Tkanina zewnętrzna jedwabiście błyszcząca.

Podszewka: 100% nylon
Materiał wierzchni: 100% nylon
Wypełnienie: 100% poliester","320.00 PLN","240.00 PLN","https://www.pegazshop.pl/kurtka-hkm-victoria-czarna-1141.html#/rozmiar-xxl/kolor-czarny","http://www.pegazshop.pl/30166/kurtka-hkm-victoria-czarna.jpg,http://www.pegazshop.pl/30167/kurtka-hkm-victoria-czarna.jpg","Kurtki / płaszcze damskie","HKM","4057052283536","100719100.0615"
"1143","Bryczesy Pikeur Gwen Grip Jeans niebieskie 2018","Damskie bryczesy Gwen Grip firmy Pikeur z kolekcji jesień-zima 2018. Wykonane z bardzo wysoko jakościowej tkaniny tekstylnej, elastycznej, oddychającej i przyjaznej dla skóry. Pełny lej pokryty silikonem, dzięki któremu bryczesy bardzo dobrze trzymają się w siodle. Wyposażone w zapinaną na suwak kieszeń. Ozdobione napisem Pikeur na prawym udzie","650.00 PLN","520.00 PLN","https://www.pegazshop.pl/bryczesy-pikeur-gwen-grip-jeans-niebieskie-2018-1143.html#/rozmiar-32/kolor-niebieski","http://www.pegazshop.pl/36992/bryczesy-pikeur-gwen-grip-jeans-niebieskie-2018.jpg,http://www.pegazshop.pl/36993/bryczesy-pikeur-gwen-grip-jeans-niebieskie-2018.jpg,http://www.pegazshop.pl/36994/bryczesy-pikeur-gwen-grip-jeans-niebieskie-2018.jpg","Wyprzedaż","Pikeur","4060795150737","14561600 7760 / 32"
