"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod produktu";"Kod kreskowy EAN-13 lub JAN";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji"
"10843";"Derka polarowa z pasami Horze Warwick Cooler czarna";"24653-BL-115";"6438433055658";"1";"czarny";"115 cm";"24653-BL-115";"6438433055658"
"10846";"Palcat Horze Jersey brązowy";"42224-FCBR-50";"6438433058987";"4";"brązowy";"50 cm";"42224-FCBR-50";"6438433058987"
"10847";"Palcat Horze Jersey fuksjowy";"42224-SBPI-50";"6438433058994";"3";"fuksja";"50 cm";"42224-SBPI-50";"6438433058994"
"10848";"Brelok Horze jednorożec z kryształkami grafitowy";"58037G/SI";"6438433088854";"3";"grafitowy";"9 x 7 cm";"58037G/SI";"6438433088854"
"10849";"Brelok Horze jednorożec z kryształkami czerwony";"58037RE/GO";"6438433088885";"4";"czerwony";"9 x 7 cm";"58037RE/GO";"6438433088885"
"10850";"Brelok Horze jednorożec z kryształkami srebrny";"58037BL/SI";"6438433088830";"3";"srebrny";"9 x 7 cm";"58037BL/SI";"6438433088830"
"10851";"Brelok Horze jednorożec z kryształkami granatowy";"58037DB/SI";"6438433088847";"3";"granatowy";"9 x 7 cm";"58037DB/SI";"6438433088847"
"10852";"Brelok Horze jednorożec z kryształkami różowy";"58037PI/SI";"6438433088878";"5";"różowy";"9 x 7 cm";"58037PI/SI";"6438433088878"
"10853";"Brelok Horze gwiazda-koń złota z kryształkami";"58038-STAR/GO";"6438433088908";"1";"złoty";"6 x 6 cm";"58038-STAR/GO";"6438433088908"
"10855";"Naczółek Horze Barron ze srebrnymi kryształkami brązowy";"10499-DBR-P";"6438433063066";"1";"brązowy-srebrny";"Pony";"10499-DBR-P";"6438433063066"
"10855";"Naczółek Horze Barron ze srebrnymi kryształkami brązowy";"10499-DBR-P";"6438433063066";"0";"brązowy-srebrny";"Full";"10499-DBR-F";"6438433063059"
"10858";"Naczółek Horze Boston ze złotymi i srebrnymi kryształkami brązowy";"10498-DBR-P";"6438433063004";"1";"brązowy-złoty-srebrny";"Pony";"10498-DBR-P";"6438433063004"
"10858";"Naczółek Horze Boston ze złotymi i srebrnymi kryształkami brązowy";"10498-DBR-P";"6438433063004";"0";"brązowy-złoty-srebrny";"Full";"10498-DBR-F";"6438433062991"
"10859";"Palcat ujeżdżeniowy Horze Jersey fuksjowy";"42304-SBPI-100";"6438433058949";"1";"fuksja";"100 cm";"42304-SBPI-100";"6438433058949"
"10859";"Palcat ujeżdżeniowy Horze Jersey fuksjowy";"42304-SBPI-100";"6438433058949";"4";"fuksja";"120 cm";"42304-SBPI-120";"6438433058956"
"10865";"Kurtka damska Pikeur Hella granatowa 2019";"HELLA 4837/34 2019";"4060795797567";"3";"granatowy";"34";"HELLA 4837/34 2019";"4060795797567"
"10865";"Kurtka damska Pikeur Hella granatowa 2019";"HELLA 4837/34 2019";"4060795797567";"2";"granatowy";"38";"HELLA 4837/38 2019";"4060795797581"
"10865";"Kurtka damska Pikeur Hella granatowa 2019";"HELLA 4837/34 2019";"4060795797567";"1";"granatowy";"40";"HELLA 4837/40 2019";"4060795797598"
"10865";"Kurtka damska Pikeur Hella granatowa 2019";"HELLA 4837/34 2019";"4060795797567";"2";"granatowy";"36";"HELLA 4837/36 2019";"4060795797574"
"10867";"Bryczesy damskie z silikonem Horze Angelina oliwkowe";"36617-LDGR-40";"6438433047974";"0";"oliwkowy";"40";"36617-LDGR-40";"6438433047974"
"10867";"Bryczesy damskie z silikonem Horze Angelina oliwkowe";"36617-LDGR-40";"6438433047974";"0";"oliwkowy";"36";"36617-LDGR-36";"6438433047950"
"10867";"Bryczesy damskie z silikonem Horze Angelina oliwkowe";"36617-LDGR-40";"6438433047974";"0";"oliwkowy";"38";"36617-LDGR-38";"6438433047967"
"10867";"Bryczesy damskie z silikonem Horze Angelina oliwkowe";"36617-LDGR-40";"6438433047974";"1";"oliwkowy";"34";"36617-LDGR-34";"6438433047943"
"10868";"Bryczesy damskie z silikonem Horze Angelina granatowe";"36617-VDB-36";"6438433048018";"0";"granatowy";"36";"36617-VDB-36";"6438433048018"
