"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod produktu";"Kod kreskowy EAN-13 lub JAN";"Ilość"
"1039";"Bryczesy Pikeur Liana Grip czarne 2018";"14410600 3307 / 36";"4060795721456";"0"
"1039";"Bryczesy Pikeur Liana Grip czarne 2018";"14410600 3307 / 36";"4060795721456";"1"
"1039";"Bryczesy Pikeur Liana Grip czarne 2018";"14410600 3307 / 36";"4060795721456";"1"
"1044";"Bryczesy Pikeur Lefinia Grip szaroniebieskie 2018";"143706 433 340 / 34";"4060795016828";"1"
"1044";"Bryczesy Pikeur Lefinia Grip szaroniebieskie 2018";"143706 433 340 / 34";"4060795016828";"1"
"1044";"Bryczesy Pikeur Lefinia Grip szaroniebieskie 2018";"143706 433 340 / 34";"4060795016828";"1"
"1047";"Kamizelka jeździecka HKM Moena granatowa";"105166900.0676";"4057052284793";"3"
"1047";"Kamizelka jeździecka HKM Moena granatowa";"105166900.0676";"4057052284793";"2"
"1047";"Kamizelka jeździecka HKM Moena granatowa";"105166900.0676";"4057052284793";"1"
"1047";"Kamizelka jeździecka HKM Moena granatowa";"105166900.0676";"4057052284793";"2"
"1048";"Kamizelka jeździecka HKM Moena karmelowa";"105164500.0676";"4057052284731";"2"
"1048";"Kamizelka jeździecka HKM Moena karmelowa";"105164500.0676";"4057052284731";"0"
"1048";"Kamizelka jeździecka HKM Moena karmelowa";"105164500.0676";"4057052284731";"1"
"1048";"Kamizelka jeździecka HKM Moena karmelowa";"105164500.0676";"4057052284731";"0"
"1052";"Bryczesy Pikeur Canice Grip grafitowe 2018";"14430600 3357 / 36";"4060795150270";"1"
