"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR M";"5901646944886";"2";"brązowy";"M"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR MX";"5901646944893";"2";"brązowy";"MX"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR MXX";"5901646944909";"2";"brązowy";"MXX"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR S";"5901646944923";"1";"brązowy";"S"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR SX";"5901646944930";"2";"brązowy";"SX"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR SXX";"5901646944947";"3";"brązowy";"SXX"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR XL";"5901646944961";"3";"brązowy";"XL"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR XM";"5901646944978";"2";"brązowy";"XM"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR XS";"5901646944985";"2";"brązowy";"XS"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR XXL";"5901646944992";"3";"brązowy";"XXL"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR XXM";"5901646945005";"2";"brązowy";"XXM"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR XXS";"5901646945012";"2";"brązowy";"XXS"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR XXXM";"5901646945029";"2";"brązowy";"XXXM"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR XXXS";"5901646945036";"3";"brązowy";"XXXS"
