id_product;name;reference;price;active;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"100";"Koszulka konkursowa Pikeur różowa";"00595-D-TURN.SHIRT6001-38";"202.439024";"0";"Pegaz";"1";"28535";"Koszule konkursowe";"0";"0";"";"0";"1";
"101";"Koszulka konkursowa Pikeur różowa";"00596-TURSHIRT 6009-38";"218.699187";"0";"Pegaz";"1";"28537";"Koszule konkursowe";"0";"0";"";"0";"1";
"102";"Bluzka konkursowa Pikeur różowo-czarna";"00598-D-TURN.SHIRT 6030-38";"137.398374";"0";"Pegaz";"1";"28540";"Koszule konkursowe";"0";"0";"";"0";"1";
"103";"Koszulka konkursowa Start Camilla granatowa";"0011010031/NA-M";"96.747967";"0";"Pegaz";"1";"27969";"Koszule konkursowe";"0";"0";"";"0";"1";
"104";"Koszulka konkursowa Start Gabrielle biała";"0011010043/WT-164";"104.878049";"0";"Pegaz";"1";"27973";"Koszule konkursowe";"0";"0";"";"0";"1";
"105";"Bluzka Pikeur Antonia czerwona";"ANTONIA 3699-38";"182.926829";"0";"Pegaz";"1";"18624";"Koszulki damskie";"0";"0";"";"0";"1";
"106";"Bluzka Pikeur Beatrice różowa";"00614-BEATRICE 2031-36";"79.674797";"0";"Pegaz";"1";"28542";"Koszulki damskie";"0";"0";"";"0";"1";
"107";"Bluzka Pikeur Beatrice szara";"00615-BEATRICE 2032-36";"121.138211";"0";"Pegaz";"1";"28544";"Koszulki damskie";"0";"0";"";"0";"1";
"109";"Bluzka Pikeur Deniz moro";"00618-DENIZ 3762-36";"161.788618";"0";"Pegaz";"1";"28546";"Koszulki męskie";"0";"0";"";"0";"1";
"110";"Bluzka Pikeur Holly czarna";"00620-HOLLY 3587-40";"186.178862";"0";"Pegaz";"1";"28548";"Koszulki damskie";"0";"0";"";"0";"1";
"112";"Bluzka Pikeur Pia różowa";"00625-PIA 3578-34";"93.495935";"0";"Pegaz";"1";"28550";"Koszulki damskie";"0";"0";"";"0";"1";
"116";"Bryczesy młodzieżowe HKM Kids Easy białe";"90601200.0458";"119.512195";"0";"Pegaz";"1";"95";"Bryczesy młodzieżowe";"0";"0";"";"0";"1";
"118";"Bryczesy młodzieżowe HKM Starlight czarno-różowe";"92289139.1553";"194.308943";"0";"Pegaz";"1";"98";"Bryczesy młodzieżowe";"0";"0";"";"0";"1";
"121";"Bryczesy Pikeur Annina Grip brązowe";"ANNINA GRIP 4472/80";"361.788618";"0";"Pegaz";"1";"21778";"Bryczesy damskie";"0";"0";"";"0";"1";
"127";"Bryczesy Pikeur Daphne Jeans";"00698-DAPHNE J. 7744-34";"519.512195";"0";"Pegaz";"1";"";"Bryczesy damskie";"0";"0";"";"0";"1";
"128";"Bryczesy Pikeur Fabriana brązowe";"FABRIANA 7971/38";"585.365854";"0";"Pegaz";"1";"103";"Bryczesy damskie";"0";"0";"";"0";"1";
"129";"Bryczesy Pikeur Felina czarne";"00705-FELINA 8207-S";"535.772358";"0";"Pegaz";"1";"";"Bryczesy damskie";"0";"0";"";"0";"1";
"130";"Bryczesy Pikeur Felina białe";"00707-FELINA 8233-M";"605.691057";"0";"Pegaz";"1";"28576";"Bryczesy";"0";"0";"";"0";"1";
"131";"Bryczesy Pikeur Felina Jeans";"00709-FELINA JEANS 7744 W";"568.292683";"0";"Pegaz";"1";"";"Bryczesy damskie";"0";"0";"";"0";"1";
"132";"Bryczesy Pikeur Hailey";"00710-HAILEY 7905-34";"568.292683";"0";"Pegaz";"1";"";"Bryczesy damskie";"0";"0";"";"0";"1";
"133";"Bryczesy Pikeur Latina Grip niebieskie";"00712-LATINA GRIP 3334-36";"495.934959";"0";"Pegaz";"1";"";"Bryczesy damskie";"0";"0";"";"0";"1";
"136";"Bryczesy Pikeur Lavinia Full białe";"00716-LAVINIA 7743-34";"373.170732";"0";"Pegaz";"1";"28586";"Bryczesy damskie";"0";"0";"";"0";"1";
"137";"Bryczesy Pikeur Linette białe";"00720-LINETTE 3333-38";"503.252033";"0";"Pegaz";"1";"112785";"Bryczesy damskie";"0";"0";"";"0";"1";
"142";"Bryczesy Pikeur Lugana Full czarne";"LUGANA 7907-76";"267.479675";"0";"Pegaz";"1";"";"Bryczesy damskie";"0";"0";"";"0";"1";
"143";"Bryczesy Pikeur Olympic Full białe";"00738-OLYMPIC I 3133-34";"584.552846";"0";"Pegaz";"1";"28599";"Bryczesy";"0";"0";"";"0";"1";
